t1,t2
"Stress_Shoot_K+, Length_WO_husk",52
"Stress_Shoot_K+, Height_WO_husk",53.9
"Stress_Shoot_K+, Seed_Weight",51.7
"Stress_Shoot_K+, Root_thickness",51.2
"Stress_Shoot_K+, Shoot_thickness",50.5
"Stress_Shoot_K+, Stress_Root_thickness",53.6
"Stress_Shoot_K+, Stress_Shoot_thickness",51.5
"Stress_Shoot_K+, Lost_Root_weight",53.9
"Stress_Shoot_K+, Lost_Shoot_weight",50.4
"Stress_Shoot_K+, Lost_Root_length",51.2
"Stress_Shoot_K+, Lost_Shoot_length",53.9
"Stress_Shoot_K+, Lost_Root_thickness",53.5
"Stress_Shoot_K+, Lost_Shoot_thickness",51.6
"Stress_Shoot_K+, Lost_Chlorophyll_A",51.3
"Stress_Shoot_K+, Lost_Chlorophyll_B",51.4
"Stress_Shoot_K+, Seed_volume",51.9
"Stress_Shoot_K+, Seed_density",50.4
"SES, Stress_Chlorophyll_A",87.7
"SES, Stress_Chlorophyll_B",84.2
"SES, Width_WO_husk",55.3
"SES, Length_WO_husk",59
"SES, Height_WO_husk",60.7
"SES, Seed_Weight",65.2
"SES, Root_thickness",67.1
"SES, Shoot_thickness",64.6
"SES, Stress_Root_thickness",80.1
"SES, Stress_Shoot_thickness",88.9
"SES, Lost_Root_weight",59.9
"SES, Lost_Shoot_weight",55.6
"SES, Lost_Root_length",59.1
"SES, Lost_Shoot_length",56.6
"SES, Lost_Root_thickness",53.3
"SES, Lost_Shoot_thickness",66.6
"SES, Lost_Chlorophyll_A",84.5
"SES, Lost_Chlorophyll_B",79.2
"SES, Seed_volume",62.8
"SES, Seed_density",53.8
"Stress_Chlorophyll_A, Stress_Chlorophyll_B",98.1
"Stress_Chlorophyll_A, Width_WO_husk",50.1
"Stress_Chlorophyll_A, Length_WO_husk",62.2
"Stress_Chlorophyll_A, Height_WO_husk",55.4
"Stress_Chlorophyll_A, Seed_Weight",61.6
"Stress_Chlorophyll_A, Root_thickness",70.9
"Stress_Chlorophyll_A, Shoot_thickness",67.5
"Stress_Chlorophyll_A, Stress_Root_thickness",77
"Stress_Chlorophyll_A, Stress_Shoot_thickness",87.8
"Stress_Chlorophyll_A, Lost_Root_weight",55.8
"Stress_Chlorophyll_A, Lost_Shoot_weight",50.9
"Stress_Chlorophyll_A, Lost_Root_length",62.8
"Stress_Chlorophyll_A, Lost_Shoot_length",54.6
"Stress_Chlorophyll_A, Lost_Root_thickness",53.2
"Stress_Chlorophyll_A, Lost_Shoot_thickness",62.5
"Stress_Chlorophyll_A, Lost_Chlorophyll_A",92.8
"Stress_Chlorophyll_A, Lost_Chlorophyll_B",87.7
"Stress_Chlorophyll_A, Seed_volume",59.1
"Stress_Chlorophyll_A, Seed_density",54.6
"Stress_Chlorophyll_B, Width_WO_husk",50.1
"Stress_Chlorophyll_B, Length_WO_husk",62.1
"Stress_Chlorophyll_B, Height_WO_husk",53.9
"Stress_Chlorophyll_B, Seed_Weight",60.8
"Stress_Chlorophyll_B, Root_thickness",69.3
"Stress_Chlorophyll_B, Shoot_thickness",66.7
"Stress_Chlorophyll_B, Stress_Root_thickness",76.2
"Stress_Chlorophyll_B, Stress_Shoot_thickness",84.5
"Stress_Chlorophyll_B, Lost_Root_weight",56.4
