accession_name,Treatment,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,SES,Chlorophyll A,Chlorophyll B
IRGC 8341,Stress,65,501,9.5,44,0.07430302,0.012448904,0.223282443,0.020252694,9,0.01494126,0.01449956
IRGC 29260,Stress,21,142,9.75,38,0.073929638,0.006317354,0.165069015,0.023826699,9,0.000291928,0.00074336
IRGC 26504,Stress,91,356,8.5,47.75,0.072867574,0.015198811,0.1048512,0.026879723,7,0.013456758,0.0133825
IRGC 53529,Stress,37,180,7.5,30.5,0.072867574,0.014269788,0.141885164,0.036187645,7,0.010089962,0.00951824
IRGC 29283,Stress,58,360,10.5,43.5,0.072415367,0.02132107,0.119763078,0.040533974,9,0.010052268,0.0100192
IRGC 38535,Stress,59,408,8.5,43.5,0.071668603,0.016466927,0.094160935,0.039018952,8,0.021474352,0.02100598
IRGC 38149,Stress,57,473,7,48,0.071668603,0.004854143,0.117879021,0.035208385,4,0.014554696,0.01393598
IRGC 32817,Control,93,390,8.5,43,0.071661688,0.127090301,0.005146218,0.004960981,,0.013809638,0.0134027
IRGC 26439,Control,65,637,8.5,52,0.071661688,0.043478261,0.01221295,0.002173913,,0.01709463,0.0148874
IRGC 29096,Stress,42,197,6.5,31.5,0.071661688,0.019137867,0.100997529,0.037057682,7,0.005026936,0.00052116
IRGC 26744,Stress,70,323,6,41.5,0.071661688,0.016041125,0.176512889,0.028985507,8,0.010922438,0.01105142
IRGC 77284,Stress,99,722,6,49.5,0.071661688,0.012944383,0.109920503,0.03698395,5,,
IRGC 117318,Stress,99,555,7.5,38,0.071661688,0.011396011,0.206812147,0.037470581,6,0.017265456,0.01719222
IRGC 26744,Stress,81,461,10.25,41.5,0.071661688,0.011396011,0.118000569,0.024420024,7,0.016691224,0.01614384
IRGC 29068,Stress,87,367,10.5,40,0.071661688,0.00984764,0.269042483,0.036231884,4,0.019653812,0.01895568
IRGC 27547,Stress,51,563,9.5,47.5,0.071661688,0.00984764,0.19277575,0.009899253,7,0.018176528,0.01728716
IRGC 31745,Stress,75,460,7.75,44.5,0.071661688,0.00984764,0.136223424,0.025575448,8,0.016367216,0.01624686
IRGC 37161,Stress,140,695,9,50,0.071661688,0.00984764,0.100577237,0.035266429,6,0.020527992,0.01995356
IRGC 38149,Stress,105,715,9.5,52,0.071661688,0.006750898,0.182044474,0.032082249,2,0.02288908,0.02336736
