accession_name,Root_weight,Shoot_weight,Root_length,Shoot_length,Root_Na+,Root_K+,Shoot_Na+,Shoot_K+,Chlorophyll_A,Chlorophyll_B,Stress_Root_weight,Stress_Shoot_weight,Stress_Root_length,Stress_Shoot_length,Stress_Root_Na+,Stress_Root_K+,Stress_Shoot_Na+,Stress_Shoot_K+,SES,Stress_Chlorophyll_A,Stress_Chlorophyll_B,Root_thickness,Shoot_thickness,Stress_Root_thickness,Stress_Shoot_thickness,Lost_Root_weight,Lost_Shoot_weight,Lost_Root_length,Lost_Shoot_length,Lost_Root_thickness,Lost_Shoot_thickness,Lost_Chlorophyll_A,Lost_Chlorophyll_B
IRIS_313-11066,80,614,8,46,0.022370378,0.09767125,0.006993647,0.017056856,0.015434757,0.014978973,56,254,10.625,34,0.072353136,0.013331475,0.146036488,0.031856138,8.5,0.006222718,0.00666297,10,13.34782609,5.270588235,7.470588235,24,360,-2.625,12,4.729411765,5.877237852,0.009212039,0.008316003
IRIS_313-11067,67.5,550.5,5.5,56.5,0.033725385,0.120122631,0.005797645,0.004264214,0.014691437,0.01698618,80.33333333,567.3333333,10.33333333,51.58333333,0.055925316,0.012404665,0.152957618,0.028291464,5.666666667,0.012441693,0.01167156,12.27272727,9.743362832,7.774193551,10.99838449,-12.83333333,-16.8333333,-4.83333333,4.91666667,4.498533722,-1.255021659,0.002249744,0.00531462
IRIS_313-11068,64.33333333,510.3333333,6.666666667,52.5,0.030500701,0.119348445,0.005860153,0.028824476,0.012105923,0.01128372,46.66666667,281,7,41,0.066633477,0.01011396,0.152702637,0.028036721,7.666666667,0.013216559,0.01289265,9.649999999,9.72063492,6.666666667,6.853658537,17.66666666,229.3333333,-0.333333333,11.5,2.983333332,2.866976383,-0.001110636,-0.00160893
IRIS_313-11069,82.33333333,896.6666667,8.5,54.56666667,0.040734595,0.085284281,0.007852454,0.005890004,0.020180726,0.022594373,93.66666667,435.6666667,11.66666667,45.91666667,0.072982354,0.016567571,0.184038154,0.028709994,7.666666667,0.01131221,0.01099688,9.686274509,16.43249847,8.028571427,9.488203267,-11.33333334,461,-3.16666667,8.65,1.657703083,6.944295206,0.008868516,0.011597493
IRIS_313-11070,43.5,498,6.25,38,0.033065051,0.071348941,0.003091913,0.002364363,0.021579013,0.02282499,52,144.3333333,8.5,31.33333333,0.065651621,0.0137836,0.12826968,0.040636424,8.666666667,0.002712899,0.003093967,6.96,13.10526316,6.117647059,4.606382978,-8.5,353.6666667,-2.25,6.66666667,0.842352941,8.49888018,0.018866114,0.019731023
IRIS_313-11111,128.3333333,678.6666667,10.33333333,54,0.016422759,0.065254553,0.006255665,0.105769231,0.016488585,0.015692033,115,504.3333333,10.66666667,43.16666667,0.060175252,0.01375396,0.114091152,0.032439124,6.666666667,0.017370251,0.017639987,12.41935484,12.56790124,10.78125,11.68339768,13.3333333,174.3333334,-0.33333334,10.83333333,1.638104843,0.884503553,-0.000881666,-0.001947954
IRIS_313-11112,115,825.6666667,7.5,54.5,0.024702789,0.104651307,0.005095845,0.004830918,0.014385474,0.013706373,81.66666667,486.3333333,8.333333333,45,0.051566821,0.012188777,0.124410437,0.037672257,5,0.016608885,0.014760813,15.33333333,15.1498471,9.800000001,10.80740741,33.33333333,339.3333334,-0.833333333,9.5,5.533333333,4.342439689,-0.002223411,-0.00105444
IRIS_313-11113,121.3333333,964.6666667,7.833333333,63.16666667,0.021417873,0.095215533,0.005515658,0.04853679,0.016504358,0.015979547,144,630.6666667,9.166666667,46.66666667,0.052210757,0.012040797,0.129018434,0.024634472,5,0.019778924,0.02119586,15.4893617,15.27176781,15.70909091,13.51428571,-22.6666667,334,-1.333333334,16.5,-0.21972921,1.757482096,-0.003274566,-0.005216313
IRIS_313-11114,133,1191.333333,7.5,41.16666667,0.0260457,0.13947727,0.004522247,0.050470705,0.020125388,0.019999347,84.33333333,555,8.75,42.66666667,0.535911513,0.154362278,0.131101142,0.026931111,6.666666667,0.016991707,0.01546512,17.73333333,28.93927124,9.638095238,13.0078125,48.66666667,636.333333,-1.25,-1.5,8.095238096,15.93145875,0.003133681,0.004534227
IRIS_313-11115,79.66666667,771,7,58.73333333,0.02333045,0.061306206,0.005158296,0.009373839,0.019803251,0.019441153,82.33333333,606,8.5,48.66666667,0.042794468,0.008560281,0.102785248,0.037322361,5.333333333,0.020093843,0.021295513,11.38095238,13.12712826,9.686274509,12.45205479,-2.66666666,165,-1.5,10.06666666,1.694677872,0.67507347,-0.000290592,-0.00185436
